canonical_smiles,-log(M)
COc1cc2c(Nc3cc(O)c(C)cc3F)ncnc2cc1OCC1CCN(C)CC1.Cl,6.698970004336019
COc1cc2c(Nc3ccc(Cl)cc3F)ncnc2cc1OCCC1CCN(C)CC1,6.698970004336019
COCCOc1cc2ncnc(Nc3ccc(Cl)cc3F)c2cc1OC,7.0
COc1cc2c(Nc3cc(O)c(Cl)cc3F)ncnc2cc1OCC1CCN(C)CC1.Cl,7.154901959985743
COc1cc2c(Nc3ccc(Br)cc3F)ncnc2cc1OC/C=C/CN1CCCC1.Cl,7.045757490560675
COC(=O)CCCc1c(SSc2c(CCCC(=O)OC)c3ccccc3n2C)n(C)c2ccccc12,4.0
COC(=O)CC1C(=S)N(C)c2ccccc21,4.0
CN1C(=S)C(CCCC(=O)O)c2ccccc21,4.0
COC(=O)CCCC1C(=S)N(C)c2ccccc21,4.0
COC(=O)CCc1c(SSc2c(CCC(=O)OC)c3ccccc3n2C)n(C)c2ccccc12,4.0
COC(=O)CCCc1c(SSc2[nH]c3ccccc3c2CCCC(=O)OC)[nH]c2ccccc12,4.0
Brc1cccc(Nc2ncnc3cc(NCCN4CCOCC4)ncc23)c1,7.443697499232713
Cc1cccc(Nc2ncnc3cc(NCCCn4ccnc4)ncc23)c1,8.455931955649724
CN1C(=S)C(CCC(=O)O)c2ccccc21,5.173925197299174
COC(=O)CCC1C(S)=Nc2ccccc21,4.0
COC(=O)Cc1c(Sc2c(CC(=O)OC)c3ccccc3n2C)n(C)c2ccccc12,4.0
O=S(=O)(O)CCNc1cc2ncnc(Nc3cccc(Br)c3)c2cn1,6.0
Brc1cccc(Nc2ncnc3cc(NCCc4c[nH]cn4)ncc23)c1,9.040958607678906
COC(=O)CCCC1C(S)=Nc2ccccc21,4.0
O=C(O)CCCC1C(S)=Nc2ccccc21,5.173925197299174
Cc1ccc2[nH]c(SSc3[nH]c4ccc(C)cc4c3CCC(=O)O)c(CCC(=O)O)c2c1,5.075720713938118
O=C(O)CCCc1c(SSc2[nH]c3ccccc3c2CCCC(=O)O)[nH]c2ccccc12,4.7447274948966935
COC(=O)CCc1c(SSc2[nH]c3ccccc3c2CCC(=O)OC)[nH]c2ccccc12,4.6777807052660805
Brc1cccc(Nc2ncnc3cc(NCCCn4ccnc4)ncc23)c1,9.292429823902063
CNc1cc2ncnc(Nc3cccc(Br)c3)c2cn1,7.795880017344075
COC(=O)Cc1c(SSc2c(CC(=O)OC)c3ccccc3n2C)n(C)c2ccccc12,4.481486060122113
[O-][N+]1(CCCNc2cc3ncnc(Nc4cccc(Br)c4)c3cn2)CCOCC1,6.0
O=CN/C=C/c1cc(O)ccc1O,5.698970004336019
O=C(O)Cc1c(SSc2[nH]c3ccccc3c2CC(=O)O)[nH]c2ccccc12,4.991399828238082
CN1C(=S)C(CC(=O)O)c2ccccc21,4.0
COC(=O)CCC1C(=S)N(C)c2ccccc21,4.0
O=C(O)CCC1C(S)=Nc2ccccc21,5.790484985457369
COC(=O)CCN1C(=S)C(CCC(=O)OC)(CCC(=O)OC)c2ccccc21,4.0
O=C(O)Cc1c(SSSc2[nH]c3ccccc3c2CC(=O)O)[nH]c2ccccc12,5.031517051446065
Cc1ccc2c(CCC(=O)O)c(SSc3[nH]c4cc(C)ccc4c3CCC(=O)O)[nH]c2c1,5.5376020021010435
Cn1c(SSc2c(CCCC(=O)O)c3ccccc3n2C)c(CCCC(=O)O)c2ccccc21,5.080921907623926
COC(=O)Cc1c(SSSc2[nH]c3ccccc3c2CC(=O)OC)[nH]c2ccccc12,4.455931955649724
Cn1c(SSc2c(CC(=O)O)c3ccccc3n2C)c(CC(=O)O)c2ccccc21,4.275724130399211
OCC(O)CNc1cc2ncnc(Nc3cccc(Br)c3)c2cn1,6.6439741428068775
CN(C)c1cc2ncnc(Nc3cccc(Br)c3)c2cn1,7.853871964321762
O=C(O)CCc1c(SSc2[nH]c3ccccc3c2CCC(=O)O)[nH]c2ccccc12,5.376750709602099
COC(=O)CCC1(CCC(=O)OC)C(S)=Nc2ccccc21,4.0
Cc1cccc(Nc2ncnc3cc(NCCc4c[nH]cn4)ncc23)c1,8.142667503568731
Nc1cc2ncnc(Nc3cccc(Br)c3)c2cn1,6.958607314841775
O=C(O)CCC1(CCC(=O)O)C(S)=Nc2ccccc21,4.0
Cc1cccc2c(CCC(=O)O)c(SSc3[nH]c4c(C)cccc4c3CCC(=O)O)[nH]c12,5.823908740944319
Brc1cccc(Nc2ncnc3cc(NCCCN4CCOCC4)ncc23)c1,8.09151498112135
Cn1c(SSc2c(CCC(=O)O)c3ccccc3n2C)c(CCC(=O)O)c2ccccc21,5.508638306165727
O=C(O)CCNc1cc2ncnc(Nc3cccc(Br)c3)c2cn1,4.943095148663527
O=C(O)CC1C(S)=Nc2ccccc21,4.826813731587726
COC(=O)CC1C(S)=Nc2ccccc21,4.0
COC(=O)Cc1c(SSc2[nH]c3ccccc3c2CC(=O)OC)[nH]c2ccccc12,4.7447274948966935
Nc1ccc2sc3c(Nc4cccc(Br)c4)ncnc3c2c1,7.0655015487564325
COc1ccc(Nc2ncnc3cc(OC)c(OC)cc23)cc1OC,5.552841968657781
COc1ccc(Oc2ncnc3cc(OC)c(OC)cc23)cc1OC,4.0
COc1ccc2[nH]c3ncnc(Nc4cccc(Br)c4)c3c2c1,7.886056647693163
Cn1c2ccccc2c2c(Nc3cccc(Br)c3)ncnc21,6.114073660198569
COc1cc2nccc(Nc3cccc(Br)c3)c2cc1OC,6.431798275933005
COc1cc2ncnc(Oc3cccc(Br)c3)c2cc1OC,7.154901959985743
Brc1cccc(Nc2[nH]cnc3nc4ccccc4c2-3)c1,6.200659450546418
COc1cc2nccc(Oc3cccc(Br)c3)c2cc1OC,5.6020599913279625
COc1cc2ncnc(Nc3cccc(Br)c3)c2cc1OC,8.397940008672037
Nc1nc(Nc2cccc(Br)c2)c2c(n1)[nH]c1ccccc12,6.30715308072277
Cc1cccc(Nc2ncnc3c2sc2ccc(N)cc23)c1,7.008773924307505
COc1ccc(Nc2ccnc3cc(OC)c(OC)cc23)cc1OC,4.094204119632131
Brc1cccc(Nc2ncnc3c2sc2ccccc23)c1,6.769551078621726
Nc1cc2sc3c(Nc4cccc(Br)c4)ncnc3c2cc1F,7.376750709602099
CCNc1cc2sc3c(Nc4cccc(Br)c4)ncnc3c2cc1F.CCO,7.070581074285707
Brc1cccc(Nc2[nH]cnc3c4ccccc4nc2-3)c1.Cl,7.031517051446065
CCO.CNc1ccc2sc3c(Nc4cccc(Br)c4)ncnc3c2c1,7.481486060122113
COc1ccc(Oc2ccnc3cc(OC)c(OC)cc23)cc1OC,4.0
COc1cc2c(Nc3ccc(Oc4ccccc4)cc3)c(C#N)cnc2cc1OCCCN1CCOCC1,6.0
COc1cc2c(Nc3ccc(Sc4nccn4C)c(Cl)c3)c(C#N)cnc2cc1OCCCN1CCOCC1,6.0
COc1cc2ncnc(Nc3ccc(F)c(Cl)c3)c2cc1OCCN(CCO)CCO,7.455931955649724
COc1cc2ncnc(Nc3cccc(C)c3)c2cc1OC,8.301029995663981
Nc1cc2ncnc(Nc3ccccc3)c2cn1,6.6020599913279625
COc1cccc(CNc2ncnc3cc(N)ncc23)c1,5.542118103266008
COc1cc2ncnc(Nc3ccc(F)c(Cl)c3)c2cc1OCCCN(C)C,7.309803919971486
Cc1cccc(Nc2ncnc3cc(N)ncc23)c1,7.3979400086720375
CC(=O)Nc1cccc(Nc2ncnc3cc(N)ncc23)c1,5.0
CN(C)c1cccc(CNc2ncnc3cc(N)ncc23)c1,5.0
COc1cc2ncnc(Nc3ccc(F)c(Cl)c3)c2cc1OCCNC(C)C,6.508638306165727
CC(=O)Nc1ccc(Nc2ncnc3cc(N)ncc23)cc1,5.0
COCCN(CCOC)CCOc1cc2c(Nc3ccc(F)c(Cl)c3)ncnc2cc1OC,7.214670164989233
Nc1ccc(-c2cc(=O)c3cccc(N)c3o2)cc1,4.0
Nc1cc2ncnc(Nc3ccc(Br)cc3)c2cn1,7.045757490560675
CN(C)c1ccccc1CNc1ncnc2cc(N)ncc12,4.0
Nc1cc2ncnc(Nc3ccccc3C(F)(F)F)c2cn1,5.0
Nc1cc2ncnc(Nc3ccc(C(F)(F)F)cc3)c2cn1,5.327902142064283
Nc1cc2ncnc(NCc3ccccc3Br)c2cn1,5.777283528852417
COc1ccccc1CNc1ncnc2cc(N)ncc12,4.0
Nc1ccc(-c2cc(=O)c3ccc(O)c(N)c3o2)cc1,4.0
Nc1cc2ncnc(Nc3cccc([N+](=O)[O-])c3)c2cn1,7.3979400086720375
Nc1cc2ncnc(NCc3cccc(C(F)(F)F)c3)c2cn1,5.709965388637482
COc1cc2ncnc(Nc3ccc(F)c(Cl)c3)c2cc1OC,8.045757490560675
Nc1ccc(-c2cc(=O)c3cc(N)ccc3o2)cc1,5.060480747381382
COc1cc2ncnc(Nc3ccc(F)c(Cl)c3)c2cc1OCCCN1CCCC1,7.1487416512809245
COc1cc2ncnc(Nc3ccc(F)c(Cl)c3)c2cc1OC[C@H](O)CN1CCOCC1,7.173925197299173
Nc1cc2ncnc(NCc3ccccc3[N+](=O)[O-])c2cn1,5.371611069949688
COc1cc2ncnc(Nc3ccc(F)c(Cl)c3)c2cc1OCCNCCN(C)C,8.698970004336019
COc1cc2ncnc(Nc3ccc(F)c(Cl)c3)c2cc1OCC(O)Cn1ccnc1,8.096910013008056
Nc1ccc(-c2cc(=O)c3cc(O)cc(N)c3o2)cc1,4.0
COc1cc(N)c2oc(-c3cccc(N)c3)cc(=O)c2c1,4.0
Nc1cc2ncnc(Nc3ccc([N+](=O)[O-])cc3)c2cn1,4.187086643357144
Nc1cc2ncnc(Nc3cccc(I)c3)c2cn1,6.585026652029182
Nc1cc2ncnc(Nc3cccc(O)c3)c2cn1,7.154901959985743
Nc1cc2ncnc(Nc3cccc(C(F)(F)F)c3)c2cn1,7.823908740944319
COc1cccc(Nc2ncnc3cc(N)ncc23)c1,6.886056647693163
CN(C)c1ccc(CNc2ncnc3cc(N)ncc23)cc1,4.0
COc1cc2ncnc(Nc3ccc(F)c(Cl)c3)c2cc1OCCN1CCOCC1,8.0
CN(C)c1cccc(Nc2ncnc3cc(N)ncc23)c1,5.747146969020107
Nc1cc2ncnc(NCc3cccc([N+](=O)[O-])c3)c2cn1,4.995678626217358
COCCNCCOc1cc2c(Nc3ccc(F)c(Cl)c3)ncnc2cc1OC,8.096910013008056
CCN(CC)CCCOc1cc2c(Nc3ccc(F)c(Cl)c3)ncnc2cc1OC,7.2441251443275085
Nc1cc2ncnc(NCc3ccc(Br)cc3)c2cn1,5.609064892896621
COc1cc2ncnc(Nc3ccc(F)c(Cl)c3)c2cc1OCCNC(C)(CO)CO,7.161150909262744
COc1cc2ncnc(Nc3ccc(F)c(Cl)c3)c2cc1OCCn1ccnc1,7.180456064458132
COc1cc2ncnc(Nc3ccc(F)c(Cl)c3)c2cc1OCCCN1CCOCC1,7.638272163982407
Nc1cccc(CNc2ncnc3cc(N)ncc23)c1,5.0
CNCCOc1cc2c(Nc3ccc(F)c(Cl)c3)ncnc2cc1OC,8.096910013008056
COc1cc2ncnc(Nc3ccc(F)c(Cl)c3)c2cc1OCCN1CCCCC1,7.008773924307505
Nc1ccc(-c2cc(=O)c3cc(N)cc(N)c3o2)cc1,4.0
Nc1ccc(-c2cc(=O)c3c(O)c(N)ccc3o2)cc1,4.0
Nc1ccc(Nc2ncnc3cc(N)ncc23)cc1,5.229147988357856
CCN(CC)CCOc1cc2c(Nc3ccc(F)c(Cl)c3)ncnc2cc1OC,7.031517051446065
Nc1ccc(-c2cc(=O)c3c(O)ccc(N)c3o2)cc1,4.0
COc1ccc(Nc2ncnc3cc(N)ncc23)cc1,6.173925197299173
CN(C)c1ccc(Nc2ncnc3cc(N)ncc23)cc1,5.313363730737707
COc1cc2ncnc(Nc3ccc(F)c(Cl)c3)c2cc1OCC(O)CN,8.221848749616356
Nc1ccc(-c2cc(=O)c3cc(N)c(O)cc3o2)cc1,4.85078088734462
Nc1cc2ncnc(Nc3ccccc3N)c2cn1,5.279840696594043
Nc1cc2ncnc(NCc3ccccc3C(F)(F)F)c2cn1,5.0
Nc1cc2ncnc(NCc3ccc(C(F)(F)F)cc3)c2cn1,5.096910013008056
COc1ccc(CNc2ncnc3cc(N)ncc23)cc1,4.0
COc1ccc(N)c2oc(-c3ccc(N)cc3)cc(=O)c12,4.0
Nc1cc2ncnc(Nc3cccnc3)c2cn1,5.0
Nc1cc2ncnc(Nc3cccc(F)c3)c2cn1,6.075720713938118
COc1cc2ncnc(Nc3ccc(F)c(Cl)c3)c2cc1OCCCN1CCCCC1,7.102372908709558
Nc1cc2ncnc(Nc3ccccc3[N+](=O)[O-])c2cn1,5.903089986991944
Nc1cc2ncnc(Nc3ccccc3Br)c2cn1,6.619788758288394
COc1cc2ncnc(Nc3ccc(F)c(Cl)c3)c2cc1OC[C@@H](O)CN1CCOCC1,7.022276394711152
